TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG
1000,1024.1115,4025.1055,18761.6363,80.877,-222.1117,-10960.5799,0.0,0.0,0.0,12709.0386,0.0,12709.0386,12709.0658,0.0
1100,2632.8658,6821.764,19347.8675,310.514,-222.477,-10345.3211,0.0,0.0,6749.7478,25294.9609,67.2074,18545.2131,25282.6486,37.4723
1200,3877.4494,8901.0005,19966.2448,497.6599,-220.2967,-9818.3489,0.0,0.0,11102.7964,34306.5055,110.5508,23203.709,34320.5043,90.4164
1300,4691.6077,10428.3502,20385.3854,615.11,-215.6302,-9575.6283,0.0,0.0,14402.5384,40731.7332,143.4064,26329.1948,40771.0922,128.2582
1400,5416.9746,11496.0625,20756.7821,708.8965,-212.9206,-9341.4011,0.0,0.0,16874.4845,45698.8786,168.0196,28824.3941,45756.9218,156.0492
1500,5913.6634,12462.7727,20895.0795,802.9814,-209.0361,-9226.1994,0.0,0.0,18582.4053,49221.6668,185.0254,30639.2614,49284.2835,177.0433
1600,6447.9975,13237.9973,21096.8049,828.373,-203.9738,-9100.8059,0.0,0.0,19927.4121,52233.805,198.4177,32306.3929,52313.8506,192.7711
1700,6873.4108,13757.8438,21192.3481,811.5404,-200.9638,-8965.5337,0.0,0.0,21250.9698,54719.6153,211.5964,33468.6455,54801.3465,206.3811
1800,7265.465,14291.0151,21353.0867,893.4249,-199.9901,-9072.8238,0.0,0.0,22318.3547,56848.5325,222.2243,34530.1779,56938.8359,218.2624
1900,7507.6938,14490.8795,21467.6908,878.4386,-200.804,-8981.4794,0.0,0.0,23274.2199,58436.6391,231.7419,35162.4193,58554.7738,227.1014
2000,7737.743,14984.7942,21460.4268,963.2866,-194.4987,-8982.0215,0.0,0.0,23916.9856,59886.7161,238.1419,35969.7305,60011.5459,235.0998
2100,7997.1712,15263.3815,21510.061,931.8033,-194.6359,-8905.2376,0.0,0.0,24486.9393,61089.4828,243.817,36602.5435,61216.5985,241.2178
2200,8240.1744,15453.7187,21558.5915,925.6773,-193.7425,-8892.5869,0.0,0.0,25186.7699,62278.6025,250.7852,37091.8326,62405.2991,247.3551
2300,8508.5323,15690.962,21609.8679,925.9972,-193.7491,-8817.3951,0.0,0.0,25579.7959,63304.0112,254.6986,37724.2153,63431.1145,252.3617
2400,8698.2014,15800.6538,21603.5711,934.0926,-188.7223,-8805.9605,0.0,0.0,25902.3866,63944.2227,257.9106,38041.8362,64089.299,256.4345
2500,8825.8943,16161.0067,21635.1543,917.3867,-190.8269,-8777.7024,0.0,0.0,26211.8301,64782.7429,260.9918,38570.9127,64924.5652,259.9599
2600,8895.1608,16115.9791,21595.3363,986.8021,-191.4912,-8777.3702,0.0,0.0,26695.9105,65320.3275,265.8118,38624.4169,65474.8337,263.3075
2700,9082.154,16247.4241,21659.6015,955.0006,-193.4203,-8704.8875,0.0,0.0,26857.2713,65903.1438,267.4184,39045.8725,66045.8445,266.8321
2800,9267.2372,16428.63,21581.8641,989.9426,-191.3836,-8839.8201,0.0,0.0,27074.8212,66311.2914,269.5846,39236.4701,66462.6258,268.9746
2900,9335.6394,16464.1078,21678.8199,984.3403,-188.3854,-8842.4537,0.0,0.0,27364.3465,66796.4147,272.4674,39432.0681,66959.6726,270.7036
3000,9488.4699,16675.8875,21663.205,937.0126,-190.5554,-8894.8994,0.0,0.0,27499.6439,67178.7641,273.8145,39679.1201,67339.1686,273.2505
